message_clean,sentimen
halo mpl,positive
tidak sesuai jadwal,negative
it s onic time,neutral
jam paling lambat jam malalter egom haha,negative
jantidakn bahas tidak,negative
rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,neutral
orang jadwal nya aja,neutral
ntidakret,negative
lah jam,neutral
mpl id scamming,negative
kobtoll,negative
rrq malter egon habis subuh,neutral
woi kelamaan,negative
kasian evos kalah ama king alter ego,negative
tidur aja dulu gess jam,negative
its onic time,negative
its onic time nauseated face nauseated face nauseated face nauseated face,positive
mpl wacana cuki,negative
woi duit bukan,negative
lah katanya,negative
onic,positive
hallo,positive
pembohonk publik,neutral
mpl ntidakntuk,neutral
udh jam bali,neutral
jam malam kont,positive
akun uda mulai live,neutral
mulai wehh lama kali,negative
kalian nungood tidakmeu apa jam kocak,negative
noob vs noob,negative
stress tidakush bikin jadwal jam sgini akhir nya malter egonn nya malemm mahh,negative
undur kocak,positive
nya jam,positive
guys,positive
palintidakn antar jam,neutral
udah ribu nungood tidakmeuin loh loudly crying face loudly crying face,negative
al in onic,negative
woi manawoi,positive
onic,positive
lah gw kira telat,negative
kocak udah hampir jam,negative
kapan we,negative
admin tll,negative
jam pas keknya,positive
udh ki,positive
sih kek kemarin,negative
mana final oii,neutral
jam brp,positive
hadehh,negative
php in sma atmin mpl jirr cat with tears of joy cat with tears of joy,neutral
scam sidai ramai,negative
kapan mulai nya woy,neutral
mpl kocak,positive
dah lewat jam nih,neutral
c,negative
woii tepat waktu napa,positive
bilang cemilan ph pindah aja lu ph,negative
udh yappingnya,negative
papua udh jam,negative
ez server vs ez server,neutral
nahh,negative
akhirnya,positive
akhirnya tertawa,positive
batu mulai,positive
udah,negative
atmin ntidakpin sih,negative
ntidakret,negative
gelo,positive
go onic time hedgehog red heart,negative
sabar,positive
geloo cendol,negative
nah,negative
let s go,positive
alter egoalter ego,negative
iklan nya lamaa,negative
yeszz,positive
malter egon jm,neutral
nah tuh bru,negative
ntidakret woi,negative
onic kroco,positive
